23,Attributable to:,0,0,0,0,0.0,0.0,0.0,0.0( '  ' ) ,;;;;;;;;;;;;;;;
24,Non-controlling interests,58,10,238,197,8.321377331420372,0.5599104143337066,9.9581589958159,5.066872427983539( '  ' ) ,;;;;;;;;;;;;;;;
25,Shareholders of Siemens AG,341,1000,4786,5437,48.92395982783357,55.99104143337066,200.2510460251046,139.84053497942386( '  ' ) ,;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
                   , 3. Using concat to join the after making the elements apart from each other by text to columns. , , , , , , , ,;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
                   , 3rd Table, , , , , , , ,;;;;;;;;;;;;;;;
,;ID ;items;FY 2020_Q2;FY 2020_FH;FY 2021_Q2;FY 2021_FH;FY 2020_Q2VA;FY 2020_FHVA;FY 2021_Q2VA;FY 2021_FHVA;(;';';);,
,;5;Net income;697;1786;2390;3888;100;100;100;100;(;';';);,
,;6;0;0;0;0;0;0;0;0;0;(;';';);,
,;7;Remeasurements of defined benefit plans;41;363;918;1224;5.882352941;20.32474804;38.41004184;31.48148148;(;';';);,
,;8;therein: Income tax effects;-250;-416;-311;-56;-35.86800574;-23.29227324;-13.0125523;-1.440329218;(;';';);,
,;9;Remeasurements of equity instruments;2;17;18;16;0.286944046;0.951847704;0.753138075;0.411522634;(;';';);,
,;10;therein: Income tax effects;0;-3;18;0;0;-0.167973124;0.753138075;0;(;';';);,
,;11;Income (loss) from investments accounted for using the equity method, net;0;-4;39;44;0;-0.223964166;1.631799163;1.131687243;(;';';);,
,;12;Items that will not be reclassified to profit or loss;42;376;975;1285;6.025824964;21.05263158;40.79497908;33.05041152;(;';';);,
,;13;0;0;0;0;0;0;0;0;0;(;';';);,
,;14;Currency translation differences;-254;-1100;1529;612;-36.44189383;-61.59014558;63.9748954;15.74074074;(;';';);,
,;15;Derivative financial instruments;-45;-18;101;-170;-6.456241033;-1.007838746;4.225941423;-4.372427984;(;';';);,
,;16;therein: Income tax effects;20;0;-26;53;2.869440459;0;-1.087866109;1.363168724;(;';';);,
,;17;Income (loss) from investments accounted for using the equity method, net;-42;-33;28;19;-6.025824964;-1.847704367;1.171548117;0.488683128;(;';';);,
,;18;Items that may be reclassified subsequently to profit or loss;-340;-1152;1659;462;-48.7804878;-64.50167973;69.41422594;11.88271605;(;';';);,
,;19;Other comprehensive income, net of income taxes;-298;-776;2634;1746;-42.75466284;-43.44904815;110.209205;44.90740741;(;';';);,
,;20;0;0;0;0;0;0;0;0;0;(;';';);,
,;21;Total comprehensive income;399;1010;5024;5633;57.24533716;56.55095185;210.209205;144.8816872;(;';';);,
,;22;0;0;0;0;0;0;0;0;0;(;';';);,
,;23;Attributable to:;0;0;0;0;0;0;0;0;(;';';);,
,;24;Non-controlling interests;58;10;238;197;8.321377331;0.559910414;9.958158996;5.066872428;(;';';);,
,;25;Shareholders of Siemens AG;341;1000;4786;5437;48.92395983;55.99104143;200.251046;139.840535;(;';';);,
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(ID ,'items',FY 2020_Q2,FY 2020_FH,FY 2021_Q2,FY 2021_FH,FY 2020_Q2VA,FY 2020_FHVA,FY 2021_Q2VA,FY 2021_FHVA),;;;;;;;;;;;;;;;
(5,'Net income',697,1786,2390,3888,100,100,100,100),;;;;;;;;;;;;;;;
(6,'0',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(7,'Remeasurements of defined benefit plans',41,363,918,1224,5.88235294117647,20.3247480403135,38.4100418410041,31.4814814814814),;;;;;;;;;;;;;;;
(8,'therein: Income tax effects',-250,-416,-311,-56,-35.8680057388809,-23.2922732362821,-13.0125523012552,-1.44032921810699),;;;;;;;;;;;;;;;
(9,'Remeasurements of equity instruments',2,17,18,16,0.286944045911047,0.951847704367301,0.753138075313807,0.411522633744856),;;;;;;;;;;;;;;;
(10,'therein: Income tax effects',0,-3,18,0,0,-0.167973124300111,0.753138075313807,0),;;;;;;;;;;;;;;;
(11,'Income (loss) from investments accounted for using the equity method, net',0,-4,39,44,0,-0.223964165733482,1.63179916317991,1.13168724279835),;;;;;;;;;;;;;;;
(12,'Items that will not be reclassified to profit or loss',42,376,975,1285,6.02582496413199,21.0526315789473,40.7949790794979,33.0504115226337),;;;;;;;;;;;;;;;
(13,'0',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(14,'Currency translation differences',-254,-1100,1529,612,-36.441893830703,-61.5901455767077,63.9748953974895,15.7407407407407),;;;;;;;;;;;;;;;
(15,'Derivative financial instruments',-45,-18,101,-170,-6.45624103299856,-1.00783874580067,4.22594142259414,-4.37242798353909),;;;;;;;;;;;;;;;
(16,'therein: Income tax effects',20,0,-26,53,2.86944045911047,0,-1.08786610878661,1.36316872427983),;;;;;;;;;;;;;;;
(17,'Income (loss) from investments accounted for using the equity method, net',-42,-33,28,19,-6.02582496413199,-1.84770436730123,1.17154811715481,0.488683127572016),;;;;;;;;;;;;;;;
(18,'Items that may be reclassified subsequently to profit or loss',-340,-1152,1659,462,-48.780487804878,-64.501679731243,69.4142259414225,11.8827160493827),;;;;;;;;;;;;;;;
(19,'Other comprehensive income, net of income taxes',-298,-776,2634,1746,-42.754662840746,-43.4490481522956,110.20920502092,44.9074074074074),;;;;;;;;;;;;;;;
(20,'0',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(21,'Total comprehensive income',399,1010,5024,5633,57.2453371592539,56.5509518477043,210.20920502092,144.881687242798),;;;;;;;;;;;;;;;
(22,'0',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(23,'Attributable to:',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(24,'Non-controlling interests',58,10,238,197,8.32137733142037,0.559910414333706,9.9581589958159,5.06687242798353),;;;;;;;;;;;;;;;
(25,'Shareholders of Siemens AG',341,1000,4786,5437,48.9239598278335,55.9910414333706,200.251046025104,139.840534979423),;;;;;;;;;;;;;;;
